asset_id,address,x,y,asset_type,insured_value_dkk
A-208364,Soendergade 150,491017.67,6239711.64,commercial,23039000
A-201686,Vestergade 105,491775.24,6290421.57,public,2551000
A-200558,Skovvej 183,727381.45,6194915.18,residential,18221000
A-213305,Skovvej 85,549542.84,6355249.23,residential,37278000
A-201587,Moellevej 105,584731.35,6127113.48,commercial,5107000
A-212975,Strandvej 105,703492.53,6185640.44,industrial,17335000
A-204686,Birkevej 164,584110.00,6194581.82,residential,28217000
A-207668,Toftevej 51,696819.46,6201911.17,residential,24675000
A-207350,Soendergade 30,723945.54,6201976.72,residential,13437000
A-202646,Stationsvej 12,724117.03,6195494.78,commercial,35011000
A-212063,Lindevej 235,555770.55,6219476.48,industrial,16945000
A-205511,Strandvej 109,577486.59,6109449.07,commercial,4698000
A-208037,Stationsvej 28,574106.15,6246217.43,residential,40965000
A-201818,Noerregade 145,704454.31,6181833.11,public,24854000
A-203039,Skovvej 227,697482.42,6199819.21,public,1960000
A-204089,Noerregade 198,573282.60,6381069.31,residential,7638000
A-212681,Egevej 222,504600.81,6249692.97,public,11003000
A-202976,Engvej 150,697884.33,6127981.53,commercial,19867000
A-208895,Egevej 107,708783.69,6193572.27,residential,2441000
A-208067,Egevej 45,682041.74,6158548.06,industrial,3596000
A-213518,Stationsvej 159,712752.40,6182601.84,industrial,12301000
A-210269,Soendergade 54,548249.39,6103953.19,commercial,24776000
A-203273,Lindevej 10,718807.01,6208092.36,residential,10183000
A-208466,Bakkevej 185,483137.21,6297693.09,public,5851000
A-203315,Stationsvej 229,486304.04,6232263.86,residential,4063000
A-205358,Soendergade 43,719104.94,6181734.53,agricultural,10089000
A-209228,Engvej 57,577756.28,6230478.87,residential,16940000
A-211757,Kirkevej 156,672076.76,6156577.35,commercial,29819000
A-209318,Havnegade 150,575625.80,6225038.75,public,25099000
A-213713,Egevej 24,569350.86,6219637.49,industrial,10147000
A-200504,Bakkevej 14,710646.76,6174069.21,industrial,33644000
A-205547,Lindevej 147,571054.70,6127133.03,commercial,21290000
A-200501,Strandvej 209,546056.14,6103362.59,residential,23538000
A-203093,Strandvej 160,554780.68,6141985.86,agricultural,2017000
A-203195,Strandvej 204,720497.88,6199908.19,public,38517000
A-200012,Engvej 37,561369.97,6342247.47,agricultural,3419000
A-208154,Stationsvej 228,553432.62,6113679.44,commercial,8710000
A-211295,Moellevej 147,701523.99,6197619.62,public,11930000
A-209795,Engvej 188,727634.90,6190919.31,residential,15610000
A-208049,Havnegade 177,606110.38,6120308.97,agricultural,4270000
A-201653,Moellevej 127,539979.24,6263916.26,commercial,6249000
A-211061,Toftevej 136,550947.26,6106910.07,commercial,16274000
A-208940,Havnegade 117,504923.78,6224724.93,industrial,3657000
A-206723,Soendergade 198,715915.54,6177807.38,industrial,9895000
A-201716,Aavej 108,682333.39,6197327.04,residential,36668000
A-204050,Bakkevej 53,654775.98,6127172.37,industrial,33512000
A-203738,Stationsvej 234,717152.81,6202686.85,public,37262000
A-214025,Aavej 170,647888.79,6176404.06,industrial,28784000
A-201635,Strandvej 131,564067.49,6215154.30,residential,7135000
A-210878,Birkevej 120,714697.29,6177363.81,agricultural,4253000
A-201053,Havnegade 155,681020.42,6187001.39,residential,14188000
A-206576,Engvej 159,562066.75,6126808.50,industrial,16559000
A-214751,Stationsvej 208,582701.63,6163199.25,residential,17580000
A-213860,Noerregade 64,539278.42,6266654.29,residential,16941000
A-213182,Birkevej 128,724109.97,6209703.08,public,26244000
A-210629,Birkevej 174,727711.24,6196027.33,agricultural,20456000
A-207239,Engvej 21,641495.59,6188550.82,residential,28289000
A-209291,Lindevej 68,708763.84,6206104.02,industrial,24704000
A-201350,Strandvej 142,667415.32,6127127.05,public,30663000
A-203612,Kirkevej 224,544024.77,6204212.62,residential,35762000
A-209039,Aavej 8,476449.53,6276310.39,residential,15844000
A-212669,Havnegade 198,703133.59,6211060.48,public,36928000
A-200369,Aavej 234,703256.32,6204162.53,agricultural,7598000
A-204842,Kirkevej 46,585079.35,6138890.49,residential,17221000
A-207821,Egevej 25,475892.76,6289442.52,residential,36948000
A-211760,Engvej 203,566795.62,6249857.66,industrial,38009000
A-207635,Birkevej 16,538614.21,6262611.83,residential,6658000
A-206558,Toftevej 128,721829.39,6192236.94,residential,36045000
A-209480,Havnegade 155,712824.94,6187271.39,residential,21240000
A-209858,Lindevej 76,533427.46,6328625.32,public,16496000
A-203798,Havnegade 216,708652.26,6132684.47,residential,1004000
A-211124,Stationsvej 167,485749.04,6266903.88,industrial,25906000
A-207278,Skovvej 15,702125.54,6163808.90,industrial,6544000
A-202310,Noerregade 218,520693.82,6366649.25,public,20522000
A-212480,Toftevej 54,714488.30,6167962.63,residential,34634000
A-207062,Soendergade 163,510851.32,6237350.69,commercial,31465000
A-210884,Engvej 203,583820.36,6241192.26,residential,891000
A-202250,Lindevej 205,725501.23,6196418.10,public,34214000
A-205943,Vestergade 172,727355.60,6176930.78,industrial,7540000
A-211691,Stationsvej 102,701710.88,6193186.73,commercial,28818000
A-212105,Toftevej 62,530190.61,6179027.52,industrial,3441000
A-212540,Toftevej 124,707720.11,6145625.23,industrial,32574000
A-201011,Bakkevej 33,553246.97,6340091.93,agricultural,3427000
A-205106,Noerregade 14,707554.62,6200165.49,public,23946000
A-207833,Soendergade 194,530357.03,6248632.39,industrial,30130000
A-202292,Toftevej 115,724439.12,6195794.33,agricultural,14634000
A-211340,Skovvej 155,483413.38,6277303.93,residential,40578000
A-212675,Vestergade 182,721350.59,6170550.13,residential,14073000
A-210914,Stationsvej 238,529053.51,6383136.37,commercial,22032000
A-200015,Engvej 174,727446.75,6214353.20,industrial,29141000
A-213362,Moellevej 87,528441.09,6146349.63,commercial,10367000
A-212237,Vestergade 147,573862.50,6371924.37,public,5916000
A-204449,Engvej 204,635097.24,6152194.19,residential,20639000
A-213311,Vestergade 130,699672.07,6190345.94,residential,9026000
A-212792,Moellevej 69,718793.36,6200846.65,residential,26729000
A-209087,Bakkevej 16,520070.55,6376929.16,commercial,8050000
A-212075,Stationsvej 190,668063.17,6178470.18,public,20134000
A-208799,Toftevej 119,711486.27,6209044.31,residential,35322000
A-214706,Skovvej 217,578922.86,6115586.08,residential,22333000
A-214526,Havnegade 174,632935.49,6201348.08,residential,26830000
A-201245,Toftevej 47,553160.85,6209346.26,residential,2691000
A-202133,Soendergade 77,594197.74,6137809.27,industrial,32359000
A-206942,Lindevej 135,636347.62,6162728.61,residential,41726000
A-212855,Kirkevej 24,702309.59,6215985.10,commercial,18454000
A-203561,Birkevej 117,587721.75,6097280.55,agricultural,36155000
A-209588,Lindevej 76,561339.81,6222755.69,industrial,26846000
A-209759,Toftevej 186,719087.79,6161489.81,agricultural,37624000
A-205418,Bakkevej 67,677747.84,6192194.48,industrial,8800000
A-212822,Birkevej 127,673604.77,6123556.42,industrial,39167000
A-204884,Moellevej 224,714485.42,6189428.49,residential,36313000
A-210689,Stationsvej 194,544146.25,6204061.45,residential,16018000
A-204719,Soendergade 1,727209.96,6215651.56,public,38047000
A-206147,Engvej 94,696951.26,6209972.79,residential,41105000
A-204824,Skovvej 161,511521.41,6181825.33,residential,2108000
A-213239,Toftevej 192,586351.62,6112164.32,residential,39971000
A-211487,Toftevej 8,539979.52,6216429.20,industrial,7098000
A-213521,Skovvej 195,708401.51,6161265.16,commercial,37945000
A-205715,Strandvej 195,512165.11,6192829.71,commercial,13085000
A-204260,Moellevej 4,564866.56,6139472.53,commercial,506000
A-207053,Engvej 89,508458.70,6304827.37,commercial,41988000
A-200858,Vestergade 173,698093.94,6177712.41,residential,9484000
A-210557,Bakkevej 19,723188.15,6174879.37,agricultural,33606000
A-205724,Egevej 26,580490.14,6352777.54,industrial,37095000
A-200771,Stationsvej 202,720762.04,6186623.33,residential,24215000
A-200246,Havnegade 1,556514.98,6346104.96,public,37184000
A-207227,Skovvej 159,655319.57,6158009.70,industrial,38238000
A-210695,Havnegade 235,547706.00,6143735.59,residential,29694000
A-208157,Havnegade 162,567425.43,6264653.32,residential,10990000
A-206927,Birkevej 37,727006.06,6172131.58,public,40478000
A-211604,Noerregade 33,489087.67,6206640.69,industrial,39287000
A-201125,Egevej 167,536472.20,6376177.84,residential,2732000
A-201857,Egevej 110,655328.97,6146119.82,industrial,3314000
A-204875,Stationsvej 129,677151.29,6194920.96,residential,1871000
A-200036,Lindevej 82,542702.60,6187124.11,agricultural,1765000
A-204986,Vestergade 148,727991.79,6179863.79,residential,3693000
A-200696,Aavej 29,659117.83,6195364.88,public,39286000
A-201620,Toftevej 230,585745.37,6238755.12,residential,3388000
A-204611,Birkevej 154,727346.84,6204132.80,industrial,19383000
A-200843,Lindevej 152,715185.92,6162337.91,industrial,12337000
A-211265,Toftevej 80,685630.20,6200580.31,residential,507000
A-210035,Soendergade 159,594725.57,6118691.13,industrial,32530000
A-212447,Vestergade 43,668599.43,6184751.98,public,28140000
A-208256,Vestergade 52,563582.73,6165396.50,residential,18005000
A-200339,Skovvej 182,556196.50,6158628.54,residential,27617000
A-212393,Lindevej 116,657413.88,6143108.19,residential,40710000
A-201548,Vestergade 62,550260.21,6119120.82,residential,29775000
A-201563,Noerregade 164,502627.82,6268317.78,residential,36568000
A-205502,Lindevej 124,721078.52,6172383.26,commercial,37217000
A-200813,Birkevej 222,583101.28,6235063.51,agricultural,23673000
A-206252,Havnegade 232,717518.29,6193138.68,residential,1126000
A-204062,Stationsvej 118,529643.54,6325104.98,industrial,37796000
A-203843,Engvej 78,727517.26,6199317.80,agricultural,36520000
A-202772,Noerregade 108,506678.02,6102037.97,residential,34021000
A-201953,Lindevej 88,687353.95,6192037.50,industrial,16198000
A-211283,Soendergade 236,703124.88,6203383.09,industrial,34939000
A-214769,Strandvej 82,606881.03,6143018.80,residential,41203000
A-204662,Moellevej 197,572056.21,6314787.69,public,15306000
A-200066,Noerregade 58,504633.13,6148411.40,public,7131000
A-203822,Birkevej 183,555088.61,6250752.55,residential,40961000
A-208289,Lindevej 7,698627.24,6204256.09,residential,10995000
A-205964,Toftevej 99,667013.36,6181594.15,residential,32034000
A-204026,Moellevej 177,706645.95,6204618.21,industrial,25919000
A-202331,Soendergade 26,563680.42,6145726.12,residential,36505000
A-202262,Egevej 40,482666.46,6298970.98,industrial,39843000
A-209144,Strandvej 2,722632.66,6180695.69,public,26347000
A-210041,Egevej 192,545871.68,6379165.95,residential,2007000
A-207968,Skovvej 204,495609.84,6130861.40,residential,30522000
A-203519,Aavej 230,652744.77,6165648.54,agricultural,14097000
A-205430,Toftevej 16,651878.00,6147769.67,commercial,21083000
A-205727,Engvej 110,534078.35,6338613.91,residential,25119000
A-210554,Noerregade 235,559465.22,6261753.12,residential,6297000
A-202232,Noerregade 197,675255.24,6128851.63,industrial,40449000
A-210896,Soendergade 191,718836.23,6163091.75,residential,36742000
A-204002,Engvej 9,719066.89,6206670.00,residential,1283000
A-206543,Toftevej 67,573991.53,6215886.32,public,13988000
A-212066,Vestergade 157,710444.13,6189180.77,residential,30593000
A-203921,Havnegade 66,539638.40,6244779.75,residential,18450000
A-200567,Moellevej 111,562294.51,6203157.75,industrial,7673000
A-211016,Bakkevej 140,701371.07,6199975.74,residential,28866000
A-200342,Lindevej 132,501176.79,6094710.57,commercial,8618000
A-205151,Aavej 38,588610.64,6149918.12,agricultural,11799000
A-205694,Noerregade 155,545420.40,6248050.85,residential,24104000
A-205067,Skovvej 100,706068.90,6193240.24,residential,17596000
A-206990,Kirkevej 233,669689.56,6180154.68,residential,35030000
A-200156,Noerregade 174,561151.68,6259461.14,commercial,7729000
A-212852,Toftevej 56,680517.64,6115427.85,commercial,32188000
A-208805,Engvej 183,724311.78,6212899.97,agricultural,32771000
A-203555,Engvej 166,722731.92,6206331.39,commercial,3173000
A-201521,Kirkevej 52,547829.48,6248757.24,agricultural,13901000
A-202253,Skovvej 50,649698.89,6136482.36,commercial,11165000
A-212138,Moellevej 99,577798.95,6131951.77,residential,27850000
A-205649,Birkevej 166,549129.18,6339188.73,residential,5724000
A-209807,Egevej 124,637164.95,6186322.87,residential,15728000
A-206387,Havnegade 228,726086.81,6199405.56,residential,29193000
A-210593,Lindevej 132,705311.67,6182219.00,industrial,24218000
A-213887,Havnegade 128,564353.62,6109272.47,commercial,7400000
A-206318,Toftevej 71,698635.76,6213186.29,public,37226000
A-209003,Skovvej 42,520773.60,6203544.82,residential,8381000
A-207542,Aavej 101,641381.21,6190711.76,commercial,41180000
A-214685,Moellevej 216,710102.79,6165702.34,public,6817000
A-203897,Soendergade 161,582067.06,6210342.45,residential,16139000
A-209303,Toftevej 14,675089.92,6199679.08,residential,10921000
A-208505,Toftevej 88,532053.80,6316537.45,industrial,11292000
A-201755,Noerregade 169,549118.61,6150991.90,agricultural,25861000
A-203837,Vestergade 30,705248.78,6163815.39,public,34153000
A-213251,Egevej 164,559976.33,6237135.63,residential,15869000
A-214265,Noerregade 134,571293.48,6319477.92,commercial,14269000
A-211853,Aavej 163,486509.93,6249689.47,public,30410000
A-202982,Lindevej 111,524676.75,6220549.05,residential,1223000
A-205874,Birkevej 128,649457.18,6152617.18,residential,10565000
A-210854,Aavej 158,706832.95,6174620.32,residential,16405000
A-204878,Egevej 80,520831.62,6353249.97,residential,1726000
A-205823,Bakkevej 214,721158.11,6168014.08,residential,15729000
A-206591,Toftevej 115,549766.81,6096499.13,residential,37128000
A-208889,Vestergade 45,642129.74,6146883.02,residential,9448000
A-214304,Bakkevej 5,704687.96,6182814.75,residential,36121000
A-214262,Kirkevej 239,710544.16,6214768.81,residential,23173000
A-209744,Skovvej 226,572143.80,6140157.46,agricultural,36306000
A-204674,Strandvej 41,683003.86,6124594.53,residential,794000
A-209753,Egevej 115,709814.45,6203415.06,residential,31459000
A-210923,Soendergade 81,574506.66,6113556.43,industrial,6764000
A-208985,Strandvej 121,710159.35,6193968.89,public,27282000
A-212525,Noerregade 18,532697.00,6086477.51,residential,39428000
A-210248,Egevej 78,585990.20,6131112.47,residential,12678000
A-202793,Aavej 235,700673.67,6191784.76,residential,27389000
A-210101,Havnegade 158,514915.36,6189756.34,public,5328000
A-201212,Vestergade 97,566883.05,6228559.92,public,37360000
A-202406,Strandvej 114,557740.21,6223938.76,agricultural,31969000
A-214865,Vestergade 136,644879.26,6168677.71,residential,22136000
A-204974,Egevej 145,512160.07,6262527.06,residential,8983000
A-214421,Vestergade 161,570937.11,6257341.45,residential,3409000
A-214586,Strandvej 158,649057.20,6199335.16,residential,17095000
A-211058,Skovvej 27,677275.46,6197062.05,residential,36295000
A-201761,Egevej 69,727079.40,6199395.70,residential,3005000
A-214100,Toftevej 175,584337.75,6234830.07,residential,24149000
A-211193,Vestergade 79,705866.38,6203470.60,commercial,13496000
A-202667,Noerregade 36,727672.26,6209150.53,residential,11691000
A-204584,Stationsvej 109,682520.05,6176452.33,public,4737000
A-213812,Aavej 184,721775.44,6175137.03,residential,7685000
A-212171,Stationsvej 193,658496.16,6198387.46,commercial,5446000
A-213926,Egevej 24,705004.31,6164714.06,residential,21185000
A-202436,Engvej 201,505910.12,6251166.61,commercial,34554000
A-205505,Strandvej 105,722500.99,6169882.25,residential,10743000
A-201113,Strandvej 12,724374.74,6189729.46,agricultural,2883000
A-206414,Noerregade 164,703509.25,6187706.95,agricultural,17506000
A-208055,Kirkevej 94,721669.12,6179425.64,residential,37005000
A-208949,Havnegade 42,726881.70,6174892.23,public,16303000
A-205553,Aavej 160,563190.78,6271337.82,residential,25915000
A-212204,Engvej 85,572451.37,6205070.67,commercial,18315000
A-204965,Stationsvej 104,667949.19,6185986.09,public,19230000
A-202862,Lindevej 151,570256.90,6267620.69,commercial,33158000
A-204857,Kirkevej 222,579649.37,6269068.59,residential,15135000
A-205784,Moellevej 63,493111.06,6149036.16,commercial,41559000
A-208430,Bakkevej 124,558624.07,6234701.15,public,4063000
A-212834,Strandvej 13,532893.38,6260404.41,residential,30337000
A-203432,Stationsvej 227,716343.21,6175990.19,commercial,5213000
A-201518,Havnegade 123,711374.10,6165310.40,residential,13121000
A-212147,Toftevej 224,701636.14,6186494.81,industrial,30960000
A-209078,Engvej 174,558418.88,6327491.09,industrial,28275000
A-202013,Stationsvej 169,477420.44,6298999.07,agricultural,17093000
A-205190,Aavej 75,680495.04,6169620.55,residential,16267000
A-213605,Soendergade 151,530893.98,6343248.85,industrial,26647000
A-203567,Moellevej 140,724041.90,6164303.16,agricultural,22018000
A-203405,Moellevej 105,710607.95,6189108.25,agricultural,18178000
A-201197,Egevej 88,525689.51,6219627.29,agricultural,27212000
A-209663,Vestergade 221,559920.57,6158410.92,commercial,13266000
A-211022,Lindevej 83,596903.79,6145777.01,commercial,34519000
A-201599,Skovvej 57,471668.93,6164992.65,public,41848000
A-207098,Skovvej 190,717655.29,6216838.34,residential,7433000
A-203063,Kirkevej 148,552168.08,6216746.09,agricultural,39464000
A-210998,Moellevej 44,712663.16,6183568.26,residential,33948000
A-207872,Kirkevej 49,707624.87,6177853.04,residential,40927000
A-206888,Soendergade 159,535670.85,6229769.24,residential,31692000
A-201719,Moellevej 82,557564.66,6159329.07,public,4314000
A-212282,Strandvej 200,632852.59,6190548.36,residential,27433000
A-209432,Engvej 92,723309.70,6207383.08,commercial,17640000
A-201572,Vestergade 28,616512.90,6156066.83,residential,9501000
A-209009,Havnegade 221,648454.56,6121551.96,residential,33749000
A-213131,Strandvej 238,710105.67,6202558.76,commercial,32584000
A-202205,Lindevej 81,582411.09,6123130.98,industrial,41383000
A-204890,Soendergade 163,716598.11,6185637.49,public,27966000
A-205484,Bakkevej 173,683486.23,6175204.84,industrial,1875000
A-205775,Soendergade 159,568734.17,6197569.30,industrial,30690000
A-213842,Strandvej 211,563499.66,6156394.37,residential,22277000
A-208499,Birkevej 146,570361.87,6267146.42,agricultural,18611000
A-203366,Soendergade 78,598514.93,6127759.51,public,32529000
A-210206,Skovvej 118,562041.92,6209540.43,commercial,18551000
A-203147,Lindevej 84,649369.99,6152313.51,industrial,10784000
A-209906,Lindevej 122,588670.75,6109075.16,residential,40859000
A-212333,Noerregade 194,709452.95,6175957.99,residential,7036000
A-201770,Egevej 210,560354.87,6110920.44,residential,3997000
A-206852,Engvej 113,567201.67,6327413.43,residential,22376000
A-201425,Egevej 8,688845.31,6151192.67,industrial,41417000
A-200141,Strandvej 135,550374.54,6365442.02,commercial,12087000
A-214937,Stationsvej 90,515649.30,6207599.88,industrial,5622000
A-204566,Havnegade 141,586027.23,6211243.60,public,3088000
A-213395,Egevej 74,705914.32,6164761.56,residential,40522000
A-209231,Birkevej 3,508455.67,6222450.18,commercial,17550000
A-208277,Moellevej 88,530131.13,6364342.94,industrial,31338000
A-201695,Birkevej 161,568262.36,6317150.69,industrial,26670000
A-213467,Moellevej 65,589989.57,6167327.97,industrial,29558000
A-208496,Egevej 5,698279.09,6211768.02,agricultural,4468000
A-202652,Toftevej 82,665294.17,6134146.83,residential,41611000
A-202229,Egevej 209,648410.21,6148194.81,residential,11748000
A-213632,Havnegade 135,668370.96,6150929.92,agricultural,13320000
A-203777,Egevej 148,720041.08,6169783.88,industrial,10645000
A-204698,Havnegade 221,552128.00,6100581.52,commercial,12007000
A-200072,Birkevej 216,706673.63,6176286.16,commercial,3405000
A-206405,Egevej 71,530769.19,6233809.45,commercial,38448000
A-203174,Soendergade 156,551630.97,6101149.62,residential,5066000
A-212057,Vestergade 59,540317.90,6238767.26,public,41563000
A-200291,Lindevej 140,645716.28,6175644.18,agricultural,6325000
A-205013,Toftevej 196,537885.45,6211914.70,residential,17138000
A-212126,Aavej 18,719350.79,6177346.85,residential,16974000
A-204314,Toftevej 83,719098.99,6165711.43,commercial,11859000
A-214772,Skovvej 106,713185.77,6193777.53,agricultural,32982000
A-214580,Bakkevej 196,674078.25,6199818.63,industrial,22666000
A-204644,Skovvej 111,508471.56,6175826.47,residential,35079000
A-207026,Vestergade 162,527807.18,6259368.66,public,4657000
A-212702,Stationsvej 142,527305.87,6241043.09,public,30568000
A-205538,Soendergade 167,704071.60,6197219.70,agricultural,14167000
A-211655,Bakkevej 185,699838.64,6193096.65,public,6671000
A-213797,Engvej 113,522586.79,6209997.01,industrial,17245000
A-200921,Moellevej 132,723283.69,6163920.28,residential,19787000
A-212639,Moellevej 217,654915.53,6167032.26,residential,14965000
A-207113,Skovvej 51,552483.81,6196137.53,residential,16806000
A-207056,Soendergade 20,696050.78,6182078.66,agricultural,28407000
A-206300,Soendergade 90,641905.03,6157051.24,public,26573000
A-201773,Birkevej 97,563884.67,6233870.11,residential,37883000
A-200423,Aavej 218,717756.02,6204018.08,industrial,17685000
A-200075,Strandvej 62,703777.85,6184988.08,industrial,25134000
A-213338,Stationsvej 85,728146.48,6190528.50,agricultural,28755000
A-210845,Moellevej 105,648508.30,6181552.08,agricultural,41276000
A-206186,Strandvej 106,696797.54,6134003.93,industrial,19392000
A-213698,Noerregade 238,653831.18,6133084.43,residential,39904000
A-206996,Kirkevej 66,573443.14,6201793.23,residential,23266000
A-206984,Strandvej 42,705101.09,6190598.64,residential,22096000
A-203975,Moellevej 198,656812.83,6145557.95,public,3657000
A-209066,Lindevej 149,500057.68,6277152.75,commercial,9363000
A-200309,Havnegade 3,572890.17,6249140.85,agricultural,11783000
A-206993,Egevej 186,660766.23,6174736.02,commercial,5977000
A-202220,Vestergade 26,615643.13,6162256.79,public,15980000
A-200471,Bakkevej 202,481208.46,6139505.83,residential,38615000
A-200420,Havnegade 237,519727.11,6249317.41,public,16391000
A-204596,Lindevej 215,541292.89,6210124.53,residential,32659000
A-209063,Birkevej 124,696619.01,6194221.44,residential,37668000
A-200687,Toftevej 213,708027.93,6182355.87,agricultural,23295000
A-210128,Lindevej 129,492222.98,6249242.34,residential,22051000
A-209165,Toftevej 68,671202.36,6173553.37,public,37746000
A-210872,Toftevej 138,603957.46,6159783.36,residential,13456000
A-205706,Stationsvej 240,533416.92,6203068.25,industrial,35712000
A-209024,Skovvej 71,723686.28,6206156.40,industrial,30400000
A-201014,Lindevej 121,717857.23,6170136.39,agricultural,7238000
A-209501,Noerregade 201,509130.51,6250485.30,industrial,2483000
A-201305,Toftevej 189,615528.62,6132955.54,agricultural,36717000
A-201566,Havnegade 64,718734.63,6215390.26,industrial,11898000
A-214370,Stationsvej 66,709752.51,6192262.69,commercial,10846000
A-207995,Kirkevej 156,577895.69,6110006.49,agricultural,22463000
A-200495,Vestergade 56,575603.16,6132182.23,residential,4099000
A-211289,Soendergade 111,609222.23,6147136.88,public,26323000
A-214289,Bakkevej 156,722798.81,6205440.78,residential,16399000
A-203489,Engvej 35,612934.35,6137043.01,industrial,18195000
A-213023,Moellevej 23,711019.81,6173527.39,commercial,17660000
A-213341,Strandvej 212,615375.70,6109885.88,residential,33909000
A-210650,Soendergade 240,484992.38,6194161.11,residential,9199000
A-206234,Engvej 41,726293.19,6163600.81,agricultural,27614000
A-214088,Aavej 157,643488.60,6185219.42,commercial,22889000
A-206435,Skovvej 105,716392.63,6172735.37,commercial,33131000
A-210440,Strandvej 110,718706.04,6198831.37,industrial,24385000
A-210794,Aavej 226,696280.94,6213955.88,residential,18893000
A-205952,Noerregade 36,721523.27,6177412.71,public,10440000
A-211967,Engvej 219,675772.84,6181443.80,residential,14562000
A-206936,Vestergade 179,698480.68,6166981.70,commercial,31730000
A-210752,Havnegade 204,687624.89,6117172.39,residential,4355000
A-201470,Engvej 234,713957.98,6183933.50,industrial,15488000
A-201701,Engvej 57,723955.73,6169572.61,public,1885000
A-213431,Egevej 41,606490.71,6127300.99,residential,4672000
A-206366,Aavej 118,522889.77,6218165.60,public,4315000
A-205925,Engvej 92,569881.10,6248266.89,agricultural,40585000
A-214637,Skovvej 175,488484.41,6220656.65,residential,27512000
A-214481,Toftevej 10,681523.26,6168198.72,residential,13183000
A-209495,Egevej 240,503808.10,6208815.46,commercial,2387000
A-213899,Kirkevej 62,540316.62,6241506.04,residential,20873000
A-201545,Egevej 176,694348.05,6137626.29,industrial,32168000
A-201845,Kirkevej 176,667556.02,6124396.28,residential,30314000
A-206615,Strandvej 212,530485.78,6333249.95,agricultural,37068000
A-212504,Engvej 29,558054.67,6245303.19,commercial,6426000
A-214037,Birkevej 21,591667.65,6309626.40,residential,14039000
A-200204,Soendergade 135,713275.59,6166040.18,residential,12586000
A-207251,Lindevej 115,516765.08,6369442.70,residential,12050000
A-206798,Egevej 132,485470.19,6134438.11,residential,14856000
A-207203,Lindevej 56,703605.59,6182534.25,agricultural,30525000
A-202619,Bakkevej 83,575464.91,6217448.08,residential,27370000
A-211388,Skovvej 187,574447.78,6191985.46,agricultural,30395000
A-209564,Moellevej 126,573976.40,6095889.07,residential,36683000
A-206378,Engvej 159,725890.62,6175924.87,residential,11411000
A-201617,Noerregade 135,549020.88,6196120.72,industrial,41283000
A-208961,Skovvej 76,605950.35,6136682.75,residential,22808000
A-203696,Egevej 130,582283.07,6103921.40,industrial,7502000
A-211664,Engvej 99,706448.98,6164034.03,industrial,20464000
A-214571,Stationsvej 224,583624.67,6103739.28,agricultural,7638000
A-211520,Noerregade 136,692020.51,6150257.89,agricultural,12881000
A-212291,Strandvej 17,650473.64,6202496.40,residential,16854000
