station_id,station_name,lat,lon,valid_from,valid_to
DK1777,Station DK1777,56.047350,12.435614,2025-01-01,
DK1679,Station DK1679,55.673054,12.343433,2025-01-01,
DK1217,Station DK1217,54.922192,8.906724,2025-01-01,
DK1511,Station DK1511,56.647943,9.543079,2025-01-01,
DK1063,Station DK1063,55.691022,12.029249,2025-01-01,
DK1035,Station DK1035,55.887609,11.772086,2025-01-01,
DK1357,Station DK1357,55.670071,12.503495,2025-01-01,
DK1616,Station DK1616,56.531439,9.709011,2025-01-01,
DK1182,Station DK1182,57.025631,9.219379,2025-01-01,
DK1294,Station DK1294,55.580907,10.807081,2025-01-01,
DK1042,Station DK1042,55.896866,12.547965,2025-01-01,
DK1007,Station DK1007,55.916043,11.516243,2025-01-01,
DK1350,Station DK1350,55.716083,11.714098,2025-01-01,
DK1735,Station DK1735,55.788085,12.307237,2025-01-01,
DK1553,Station DK1553,55.931388,12.581419,2025-01-01,
DK1385,Station DK1385,55.273657,11.964185,2025-01-01,
DK1420,Station DK1420,55.785656,12.586332,2025-01-01,
DK1441,Station DK1441,56.031180,12.637938,2025-01-01,
DK1707,Station DK1707,55.887666,12.542596,2025-01-01,
DK1189,Station DK1189,55.341187,11.678609,2025-01-01,
DK1483,Station DK1483,55.646298,12.305603,2025-01-01,
DK1448,Station DK1448,56.122421,9.644826,2025-01-01,
DK1665,Station DK1665,55.172635,11.429960,2025-01-01,2025-07-24
DK1273,Station DK1273,55.560957,9.822102,2025-01-01,
DK1819,Station DK1819,56.069995,10.124605,2025-01-01,
DK1133,Station DK1133,55.704537,12.189013,2025-01-01,
DK1665,Station DK1665,55.102894,11.289736,2025-07-25,
DK1609,Station DK1609,55.566169,11.512539,2025-01-01,
DK1469,Station DK1469,55.806098,9.597141,2025-01-01,
DK1392,Station DK1392,55.720536,12.200736,2025-01-01,
DK1231,Station DK1231,57.472308,10.114637,2025-01-01,
DK1784,Station DK1784,55.215768,8.999277,2025-01-01,
DK1630,Station DK1630,54.955245,8.810353,2025-01-01,
DK1651,Station DK1651,57.069252,10.288286,2025-01-01,
DK1637,Station DK1637,55.864452,12.347255,2025-01-01,
DK1623,Station DK1623,55.966583,12.624402,2025-01-01,
DK1056,Station DK1056,55.323509,11.277723,2025-01-01,
DK1399,Station DK1399,55.346203,10.413137,2025-01-01,
DK1343,Station DK1343,57.133544,10.395177,2025-01-01,
DK1532,Station DK1532,55.828495,12.251698,2025-01-01,
DK1070,Station DK1070,55.704468,12.240074,2025-01-01,
DK1077,Station DK1077,55.644635,12.273391,2025-01-01,
DK1756,Station DK1756,55.693763,12.373520,2025-01-01,
DK1098,Station DK1098,55.313081,10.228716,2025-01-01,
DK1595,Station DK1595,55.574443,12.324816,2025-11-04,
DK1413,Station DK1413,56.608789,9.672039,2025-01-01,
DK1714,Station DK1714,56.889310,9.546768,2025-01-01,
DK1721,Station DK1721,55.663482,12.304914,2025-01-01,
DK1833,Station DK1833,55.025279,8.655707,2025-01-01,
DK1238,Station DK1238,56.179353,10.201546,2025-01-01,
DK1490,Station DK1490,57.120647,9.665898,2025-01-01,
DK1644,Station DK1644,55.079162,9.292503,2025-01-01,
DK1203,Station DK1203,56.551837,10.136670,2025-01-01,
DK1154,Station DK1154,55.825073,9.002771,2025-01-01,
DK1371,Station DK1371,55.576363,12.497455,2025-01-01,
DK1147,Station DK1147,56.441225,9.841828,2025-01-01,
DK1742,Station DK1742,55.806891,11.437280,2025-01-01,
DK1329,Station DK1329,56.081523,9.888760,2025-01-01,
DK1805,Station DK1805,57.230425,10.494120,2025-01-01,
DK1308,Station DK1308,55.705313,12.252165,2025-01-01,
DK1560,Station DK1560,55.232254,10.269051,2026-01-22,
DK1140,Station DK1140,55.187259,11.430275,2025-01-01,
DK1315,Station DK1315,54.943281,8.633835,2025-01-01,
DK1658,Station DK1658,55.920170,12.326338,2025-01-01,
DK1014,Station DK1014,55.696213,12.606483,2025-01-01,
DK1700,Station DK1700,55.571803,12.207083,2025-01-01,
DK1693,Station DK1693,55.225781,10.448057,2025-01-01,
DK1105,Station DK1105,56.278245,9.954656,2025-01-01,
DK1322,Station DK1322,55.960244,12.237017,2025-01-01,
DK1112,Station DK1112,55.923244,11.783616,2025-01-01,
DK1791,Station DK1791,56.599417,8.805328,2025-01-01,
DK1546,Station DK1546,56.132517,10.006410,2025-01-01,
DK1826,Station DK1826,57.488991,9.423349,2025-01-01,
DK1364,Station DK1364,55.500079,11.443441,2025-01-01,
