station_id,observed_at,precip_mm,temp_c
DK1427,2026-04-15T17:00:00Z,0.6,5.4
DK1084,2026-06-10T05:00:00Z,0.0,18.2
DK1644,2025-05-20T23:00:00Z,0.0,10.5
DK1581,2025-12-07T11:00:00Z,0.0,5.9
DK1588,2025-02-20T23:00:00Z,0.4,0.8
DK1049,2025-04-02T11:00:00Z,1.0,9.7
DK1637,2025-06-10T23:00:00Z,0.0,9.7
DK1546,2026-01-11T17:00:00Z,0.0,-2.8
DK1525,2026-06-16T05:00:00Z,0.0,16.0
DK1063,2025-08-31T11:00:00Z,0.0,19.2
DK1343,2026-02-25T23:00:00Z,22.8,1.0
DK1301,2025-09-26T23:00:00Z,0.0,10.2
DK1658,2026-04-18T05:00:00Z,0.0,7.6
DK1812,2026-04-20T23:00:00Z,0.0,-1.0
DK1504,2025-06-24T11:00:00Z,3.6,18.8
DK1028,2025-02-09T17:00:00Z,0.0,-2.3
DK1028,2026-02-27T05:00:00Z,1.8,1.6
DK1469,2025-08-12T05:00:00Z,0.0,16.1
DK1679,2025-05-01T17:00:00Z,0.0,15.0
DK1000,2025-12-23T05:00:00Z,0.9,-2.1
DK1231,2025-09-13T17:00:00Z,0.4,16.7
DK1000,2025-08-24T11:00:00Z,0.0,21.9
DK1336,2026-01-29T05:00:00Z,0.0,-4.3
DK1273,2025-07-24T17:00:00Z,0.0,20.0
DK1812,2026-06-21T17:00:00Z,1.3,11.5
DK1812,2025-10-02T17:00:00Z,2.7,12.2
DK1336,2025-06-07T17:00:00Z,0.0,15.0
DK1651,2025-08-26T23:00:00Z,0.0,14.9
DK1070,2025-11-25T23:00:00Z,1.6,1.9
DK1420,2025-05-01T17:00:00Z,0.0,12.5
DK1007,2025-07-01T05:00:00Z,0.0,16.6
DK1518,2025-11-22T05:00:00Z,0.0,2.8
DK1490,2026-03-09T11:00:00Z,0.0,5.1
DK1063,2025-02-01T17:00:00Z,0.0,-1.9
DK1644,2026-05-15T17:00:00Z,0.0,12.6
DK1196,2026-05-30T11:00:00Z,0.0,13.8
DK1651,2025-09-25T17:00:00Z,0.0,15.7
DK1511,2025-07-27T05:00:00Z,30.1,17.4
DK1042,2025-07-18T05:00:00Z,0.0,20.9
DK1490,2025-06-26T05:00:00Z,0.0,14.6
DK1140,2026-02-23T17:00:00Z,0.0,1.0
DK1203,2025-11-12T17:00:00Z,0.0,1.8
DK1063,2025-06-04T05:00:00Z,0.0,14.3
DK1350,2025-05-04T05:00:00Z,0.0,12.5
DK1700,2025-09-14T11:00:00Z,0.0,15.4
DK1812,2026-02-14T17:00:00Z,0.2,-0.5
DK1203,2025-07-12T11:00:00Z,4.0,16.9
DK1245,2025-04-04T17:00:00Z,0.0,7.0
DK1798,2025-10-23T23:00:00Z,1.8,7.6
DK1805,2025-03-14T11:00:00Z,0.0,6.4
DK1084,2025-12-14T17:00:00Z,0.0,0.2
DK1679,2026-02-19T17:00:00Z,18.0,-3.9
DK1700,2025-10-31T17:00:00Z,0.0,7.4
DK1091,2026-03-23T17:00:00Z,0.0,2.4
DK1630,2025-12-31T17:00:00Z,24.8,1.3
DK1777,2025-09-15T23:00:00Z,0.0,14.2
DK1497,2026-03-27T23:00:00Z,0.0,0.1
DK1063,2025-12-30T23:00:00Z,7.7,-3.1
DK1469,2026-01-27T17:00:00Z,2.6,-2.9
DK1672,2026-03-29T17:00:00Z,3.1,7.6
DK1007,2025-08-10T11:00:00Z,22.2,18.9
DK1490,2025-01-23T23:00:00Z,0.0,-0.1
DK1357,2026-04-03T17:00:00Z,0.0,1.0
DK1406,2026-04-21T17:00:00Z,0.0,5.1
DK1210,2026-04-04T17:00:00Z,0.8,7.7
DK1742,2025-11-02T05:00:00Z,2.8,1.5
DK1021,2025-07-28T23:00:00Z,0.1,17.4
DK1217,2026-03-19T17:00:00Z,0.0,4.8
DK1651,2025-02-08T11:00:00Z,2.2,4.4
DK1798,2025-06-26T05:00:00Z,0.0,14.8
DK1602,2026-05-24T11:00:00Z,0.0,12.8
DK1539,2026-05-04T23:00:00Z,0.0,8.2
DK1798,2025-10-06T05:00:00Z,0.0,6.2
DK1203,2025-12-30T23:00:00Z,0.0,2.5
DK1028,2025-09-13T05:00:00Z,1.1,8.2
DK1658,2025-07-14T23:00:00Z,1.4,15.7
DK1140,2025-02-10T17:00:00Z,2.3,0.9
DK1630,2026-03-17T23:00:00Z,0.0,3.3
DK1336,2025-08-20T23:00:00Z,0.0,9.2
DK1280,2025-12-30T17:00:00Z,0.0,2.2
DK1819,2026-03-02T11:00:00Z,0.0,3.4
DK1021,2025-12-21T11:00:00Z,25.5,2.8
DK1175,2025-05-01T17:00:00Z,4.4,9.1
DK1070,2025-05-21T17:00:00Z,1.8,17.7
DK1357,2025-12-06T11:00:00Z,0.0,2.9
DK1413,2026-03-21T23:00:00Z,0.0,5.0
DK1119,2025-09-16T11:00:00Z,0.3,11.3
DK1511,2025-04-27T23:00:00Z,0.0,5.8
DK1637,2025-08-01T05:00:00Z,0.0,16.0
DK1511,2026-02-15T23:00:00Z,0.0,-0.5
DK1378,2025-12-18T05:00:00Z,0.8,1.2
DK1210,2025-03-30T23:00:00Z,0.0,8.2
DK1469,2026-03-01T17:00:00Z,1.5,0.6
DK1539,2025-07-25T17:00:00Z,3.8,21.2
DK1077,2026-03-22T23:00:00Z,0.0,-0.5
DK1574,2025-05-10T05:00:00Z,3.2,12.9
DK1756,2025-01-27T05:00:00Z,0.0,-4.9
DK1021,2025-01-05T05:00:00Z,0.0,-1.6
DK1294,2025-05-24T17:00:00Z,0.0,19.6
DK1693,2026-04-19T17:00:00Z,1.1,7.6
DK1469,2025-05-15T11:00:00Z,0.0,14.0
DK1707,2025-08-13T11:00:00Z,2.1,18.6
DK1084,2026-06-30T11:00:00Z,0.0,14.2
DK1224,2026-01-18T23:00:00Z,11.4,5.2
DK1238,2025-12-15T23:00:00Z,0.0,-2.5
DK1686,2025-07-18T17:00:00Z,0.0,15.0
DK1252,2025-12-12T05:00:00Z,0.0,-3.7
DK1644,2025-12-05T23:00:00Z,-999.0,-2.0
DK1742,2025-02-07T17:00:00Z,0.5,-2.0
DK1483,2025-06-13T23:00:00Z,0.0,14.2
DK1805,2025-07-04T05:00:00Z,2.7,15.7
DK1602,2025-02-13T11:00:00Z,0.0,-0.2
DK1336,2026-06-21T05:00:00Z,0.0,17.6
DK1798,2025-05-10T05:00:00Z,0.0,16.3
DK1084,2025-12-01T05:00:00Z,7.7,4.8
DK1406,2025-10-21T17:00:00Z,0.0,8.6
DK1021,2025-10-15T17:00:00Z,0.0,8.7
DK1490,2025-11-11T23:00:00Z,3.2,2.1
DK1203,2026-04-01T23:00:00Z,0.0,2.4
DK1203,2025-07-15T11:00:00Z,0.0,21.9
DK1448,2026-02-25T05:00:00Z,1.1,4.3
DK1518,2025-11-02T05:00:00Z,0.0,9.8
DK1791,2025-09-19T23:00:00Z,10.1,10.7
DK1791,2025-03-13T23:00:00Z,0.0,-2.1
DK1000,2025-11-21T05:00:00Z,0.0,-2.0
DK1035,2026-01-25T05:00:00Z,0.0,-3.7
DK1203,2026-01-10T17:00:00Z,10.1,2.2
DK1210,2026-06-24T23:00:00Z,0.0,17.9
DK1693,2025-02-06T05:00:00Z,1.7,-4.0
DK1455,2026-02-12T05:00:00Z,0.0,2.5
DK1357,2025-01-13T17:00:00Z,10.3,-0.7
DK1105,2026-02-27T05:00:00Z,0.0,-1.8
DK1105,2026-06-14T17:00:00Z,0.1,14.7
DK1707,2025-07-17T23:00:00Z,0.0,14.2
DK1833,2026-05-24T23:00:00Z,3.6,11.1
DK1329,2026-04-12T11:00:00Z,0.0,12.3
DK1602,2025-10-24T23:00:00Z,51.5,6.0
DK1511,2025-02-11T11:00:00Z,0.0,1.0
DK1301,2025-11-20T05:00:00Z,0.0,5.9
DK1168,2025-06-10T17:00:00Z,0.0,15.3
DK1273,2026-04-13T17:00:00Z,0.0,8.5
DK1441,2026-06-18T23:00:00Z,25.3,9.0
DK1357,2026-05-03T05:00:00Z,3.0,15.1
DK1049,2025-11-21T05:00:00Z,0.0,2.7
DK1679,2025-05-28T05:00:00Z,0.0,9.9
DK1238,2025-10-15T11:00:00Z,1.5,11.1
DK1049,2025-02-27T17:00:00Z,0.4,-1.1
DK1063,2025-12-03T17:00:00Z,0.0,3.1
DK1385,2025-07-15T11:00:00Z,0.0,17.0
DK1462,2026-02-12T17:00:00Z,2.0,6.0
DK1000,2025-03-04T05:00:00Z,0.0,-0.2
DK1791,2025-09-04T11:00:00Z,0.0,18.4
DK1378,2026-06-14T11:00:00Z,2.6,16.5
DK1364,2025-12-10T17:00:00Z,0.0,2.0
DK1658,2025-12-15T11:00:00Z,0.0,-0.3
DK1126,2025-03-12T17:00:00Z,0.0,4.7
DK1672,2025-01-30T05:00:00Z,0.0,0.6
DK1315,2025-10-16T05:00:00Z,24.0,8.4
DK1301,2025-06-12T23:00:00Z,0.0,16.7
DK1490,2025-03-25T17:00:00Z,0.8,5.4
DK1266,2025-03-13T11:00:00Z,0.0,6.0
DK1511,2026-04-17T05:00:00Z,0.5,8.5
DK1665,2025-08-23T11:00:00Z,0.2,14.1
DK1833,2026-03-13T23:00:00Z,0.0,6.3
DK1693,2025-03-06T23:00:00Z,0.0,1.2
DK1182,2025-03-23T23:00:00Z,0.0,4.4
DK1084,2026-01-23T11:00:00Z,4.9,-1.0
DK1693,2025-02-11T17:00:00Z,6.5,2.0
